X	Y	surface	subsurface	Depth
6.5	-1	-0.053023803	-0.281927471	0.228903669
7	-1	0.008131126	-0.262217012	0.270348138
7.5	-1	0.065139133	-0.242461263	0.307600395
8	-1	0.12055919	-0.220739297	0.341298487
8.5	-1	0.171704854	-0.19854264	0.370247494
9	-1	0.200182063	-0.196490536	0.396672599
9.5	-1	0.255390408	-0.160025458	0.415415866
10	-1	0.311525502	-0.117465042	0.428990544
10.5	-1	0.374734229	-0.06086914	0.435603368
11	-1	0.441439238	0.003991411	0.437447828
11.5	-1	0.509838271	0.073502392	0.436335879
12	-1	0.578934627	0.145524874	0.433409753
12.5	-1	0.644586246	0.215916949	0.428669297
13	-1	0.710208046	0.286365762	0.423842283
13.5	-1	0.772092345	0.354567794	0.417524551
14	-1	0.836996939	0.425996911	0.411000029
14.5	-1	0.902321653	0.497056912	0.40526474
15	-1	0.964856653	0.565529521	0.399327132
15.5	-1	1.028141312	0.634419639	0.393721673
16	-1	1.092255346	0.701283547	0.390971799
16.5	-1	1.15470922	0.769314215	0.385395005
17	-1	1.215922991	0.834872997	0.381049994
17.5	-1	1.27941399	0.907089164	0.372324826
18	-1	1.339889319	0.972998972	0.366890347
18.5	-1	1.336529249	0.978015053	0.358514195
19	-1	1.392931122	1.039830124	0.353100998
19.5	-1	1.248259305	0.866785896	0.381473408
20	-1	1.299095623	0.921631888	0.377463735
-30	-0.5	3.26062602	2.810757568	0.449868452
-29.5	-0.5	3.36861908	2.909450856	0.459168224
-29	-0.5	3.478593349	3.011160581	0.467432767
-28.5	-0.5	3.588260834	3.11405898	0.474201854
-28	-0.5	3.695844383	3.216865795	0.478978589
-27.5	-0.5	3.810382329	3.332657354	0.477724975
-27	-0.5	3.909616768	3.432652189	0.476964578
-26.5	-0.5	3.995705258	3.519218872	0.476486386
-26	-0.5	4.081982094	3.613771801	0.468210293
-25.5	-0.5	4.158788821	3.702666724	0.456122097
-25	-0.5	4.225385091	3.784392824	0.440992267
-24.5	-0.5	4.278159173	3.853781322	0.424377851
-24	-0.5	4.315047838	3.905451307	0.409596531
-23.5	-0.5	4.329687361	3.929624528	0.400062833
-23	-0.5	4.322605695	3.926252534	0.396353161
-22.5	-0.5	4.293701454	3.898145399	0.395556054
-22	-0.5	4.2461796	3.85240157	0.39377803
-21.5	-0.5	4.179694413	3.791912292	0.387782121
-21	-0.5	4.095182173	3.717217215	0.377964958
-20.5	-0.5	3.991007478	3.621515419	0.369492059
-20	-0.5	3.867237855	3.498089241	0.369148614
-19.5	-0.5	3.722728525	3.341534658	0.381193867
-19	-0.5	3.559984427	3.157876569	0.402107858
-18.5	-0.5	3.381961173	2.957731759	0.424229414
-18	-0.5	3.187526052	2.746745432	0.44078062
-17.5	-0.5	2.984762866	2.534322812	0.450440054
-17	-0.5	2.77759677	2.322358528	0.455238242
-16.5	-0.5	2.575947715	2.122302887	0.453644828
-16	-0.5	2.379795744	1.932135441	0.447660303
-15.5	-0.5	2.186675038	1.749245307	0.437429731
-15	-0.5	1.999792392	1.577044204	0.422748188
-14.5	-0.5	1.819706384	1.411677899	0.408028485
-14	-0.5	1.646116094	1.246412032	0.399704062
-13.5	-0.5	1.481155763	1.080314198	0.400841565
-13	-0.5	1.323956873	0.916435752	0.407521121
-12.5	-0.5	1.173637203	0.758544412	0.415092791
-12	-0.5	1.02804954	0.606710848	0.421338692
-11.5	-0.5	0.889220927	0.463055706	0.426165221
-11	-0.5	0.758056844	0.330240852	0.427815993
-10.5	-0.5	0.637075856	0.212439377	0.424636478
-10	-0.5	0.528751103	0.111818717	0.416932386
-9.5	-0.5	0.432732859	0.02649637	0.406236488
-9	-0.5	0.346568486	-0.047867845	0.394436331
-8.5	-0.5	0.270325391	-0.110372515	0.380697906
-8	-0.5	0.204480738	-0.161695749	0.366176487
-7.5	-0.5	0.148637093	-0.206720761	0.355357854
-7	-0.5	0.102921364	-0.247993205	0.35091457
-6.5	-0.5	0.069482323	-0.286300085	0.355782407
-6	-0.5	0.046451592	-0.32301672	0.369468312
-5.5	-0.5	0.03028271	-0.357925123	0.388207833
-5	-0.5	0.016565303	-0.392330846	0.408896149
-4.5	-0.5	0.003798308	-0.424418322	0.42821663
-4	-0.5	-0.009422102	-0.448532942	0.439110839
-3.5	-0.5	-0.023452779	-0.456914646	0.433461866
-3	-0.5	-0.03847048	-0.450853873	0.412383393
-2.5	-0.5	-0.053444526	-0.432965816	0.37952129
-2	-0.5	-0.069623733	-0.408651074	0.339027341
-1.5	-0.5	-0.087497928	-0.38104173	0.293543802
-1	-0.5	-0.10661045	-0.343541637	0.236931186
-0.5	-0.5	-0.124506056	-0.269917589	0.145411533
0	-0.5	-0.142976124	-0.160422715	0.017446591
0.5	-0.5	-0.189154316	-0.218654329	0.029500012
1	-0.5	-0.239681803	-0.298183506	0.058501703
1.5	-0.5	-0.280401867	-0.343867812	0.063465945
2	-0.5	-0.307054731	-0.364548249	0.057493518
2.5	-0.5	-0.316585816	-0.363576443	0.046990627
3	-0.5	-0.304491292	-0.340636747	0.036145454
3.5	-0.5	-0.273188184	-0.297331138	0.024142954
4	-0.5	-0.224698206	-0.237999379	0.013301173
4.5	-0.5	-0.16926108	-0.196253718	0.026992638
5	-0.5	-0.113906919	-0.18969333	0.075786412
5.5	-0.5	-0.054912151	-0.179685791	0.12477364
6	-0.5	0.005724303	-0.165389434	0.171113737
6.5	-0.5	0.063334657	-0.151108148	0.214442804
7	-0.5	0.120489896	-0.133404626	0.253894523
7.5	-0.5	0.175415331	-0.114026523	0.289441854
8	-0.5	0.232236774	-0.08938011	0.321616884
8.5	-0.5	0.28329976	-0.065977279	0.349277039
9	-0.5	0.307360143	-0.06808291	0.375443053
9.5	-0.5	0.363112226	-0.030438753	0.393550978
10	-0.5	0.421568891	0.014959358	0.406609533
10.5	-0.5	0.48258896	0.06754224	0.41504672
11	-0.5	0.544568377	0.12444473	0.420123647
11.5	-0.5	0.610319208	0.189031343	0.421287865
12	-0.5	0.678326284	0.259548158	0.418778126
12.5	-0.5	0.743021778	0.326674365	0.416347413
13	-0.5	0.80649514	0.393701793	0.412793347
13.5	-0.5	0.866918296	0.458841494	0.408076802
14	-0.5	0.928018261	0.525630195	0.402388066
14.5	-0.5	0.992146437	0.594715331	0.397431106
15	-0.5	1.055728621	0.663447952	0.392280669
15.5	-0.5	1.118058326	0.730860625	0.387197701
16	-0.5	1.179041519	0.794218167	0.384823351
16.5	-0.5	1.240652318	0.861064132	0.379588186
17	-0.5	1.301641632	0.926725647	0.374915986
17.5	-0.5	1.364206986	0.997657542	0.366549445
18	-0.5	1.423874133	1.062567521	0.361306612
18.5	-0.5	1.48285255	1.126685071	0.356167478
19	-0.5	1.538358752	1.186866708	0.351492044
19.5	-0.5	1.596250463	1.249537019	0.346713443
20	-0.5	1.654802228	1.311766634	0.343035594
-30	0	3.361966575	2.919482539	0.442484036
-29.5	0	3.462565457	3.012684621	0.449880835
-29	0	3.566313226	3.110138896	0.45617433
-28.5	0	3.671070527	3.210131609	0.460938917
-28	0	3.785886857	3.325751948	0.460134909
-27.5	0	3.887204658	3.426526879	0.460677779
-27	0	3.985734933	3.52753329	0.458201643
-26.5	0	4.072610068	3.616352783	0.456257284
-26	0	4.161280189	3.714262218	0.447017971
-25.5	0	4.242146994	3.807811324	0.43433567
-25	0	4.315134852	3.896438678	0.418696174
-24.5	0	4.376570556	3.975282362	0.401288194
-24	0	4.424683884	4.038972798	0.385711086
-23.5	0	4.445882965	4.066471228	0.379411737
-23	0	4.440426697	4.057697095	0.382729602
-22.5	0	4.416439961	4.027929989	0.388509972
-22	0	4.377099339	3.985813645	0.391285694
-21.5	0	4.319173768	3.935435069	0.383738699
-21	0	4.242962359	3.87711692	0.36584544
-20.5	0	4.149535083	3.801991369	0.347543714
-20	0	4.036580912	3.694779593	0.34180132
-19.5	0	3.897981591	3.53659689	0.361384701
